"Genus"	"species"	"subfamily"	"family"	"suborder"	"order"	"supraorder"	"mass"	"longevity"	"metabolism"	"maturity_F"	"maturity_M"	"gestation"
"Colobus"	"guereza"	"Colobinae"	"Cercopithecidae"	"Catarrhini"	"Primates"	"Euarchontoglires"	9950	35	17.037	1461	2192	175
"Crocidura"	"russula"	"Crocidurinae"	"Soricidae"	"??"	"Insectivora"	"Laurasiatheria"	11.6	4	0.143	75	75	29
"Dasyurus"	"hallucatus"	"??"	"Dasyuridae"	"??"	"Dasyuromorphia"	"Metatheria"	525	5.9	1.501	315	315	"NA"
"Monodelphis"	"domestica"	"Didelphinae"	"Didelphidae"	"??"	"Didelphimorphia"	"Metatheria"	105	5.1	0.335	122	122	15
"Metachirus"	"nudicaudatus"	"Didelphinae"	"Didelphidae"	"??"	"Didelphimorphia"	"Metatheria"	440	3	1.144	"NA"	"NA"	"NA"
"Didelphis"	"virginiana"	"Didelphinae"	"Didelphidae"	"??"	"Didelphimorphia"	"Metatheria"	3000	6.6	5.299	184	243	12
"Jaculus"	"jaculus"	"Dipodinae"	"Dipodidae"	"Sciurognathi"	"Rodentia"	"Euarchontoglires"	55	7.3	0.515	327	137	45
"Elephas"	"maximus"	"??"	"Elephantidae"	"??"	"Proboscidea"	"Afrotheria"	3178000	65.5	2336.5	3287	3287	644
"Loxodonta"	"africana"	"??"	"Elephantidae"	"??"	"Proboscidea"	"Afrotheria"	4800000	65	"NA"	4018	3650	670
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Hemiechinus"	"auritus"	"Erinaceinae"	"Erinaceidae"	"??"	"Insectivora"	"Laurasiatheria"	342	7.6	0.845	213	"NA"	39
"Erinaceus"	"europaeus"	"Erinaceinae"	"Erinaceidae"	"??"	"Insectivora"	"Laurasiatheria"	750	11.7	2.434	253	253	30
"Herpestes"	"javanicus"	"??"	"Herpestidae"	"Feliformia"	"Carnivora"	"Laurasiatheria"	800	16.6	2.248	301	122	49
"Acinonyx"	"jubatus"	"Acinonychinae"	"Felidae"	"Feliformia"	"Carnivora"	"Laurasiatheria"	53500	20.5	61.77	456	456	88
"Neofelis"	"nebulosa"	"Pantherinae"	"Felidae"	"Feliformia"	"Carnivora"	"Laurasiatheria"	19500	19.8	"NA"	730	1095	89
"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"Hippopotamus"	"amphibius"	"??"	"Hippopotamidae"	"??"	"Cetartiodactyla"	"Laurasiatheria"	3750000	61.2	"NA"	1279	1279	234
"Pongo"	"pygmaeus"	"??"	"Hominidae"	"Haplorrhini"	"Primates"	"Euarchontoglires"	64475	59	"NA"	2555	2555	249
"Gorilla"	"gorilla"	"??"	"Hominidae"	"Haplorrhini"	"Primates"	"Euarchontoglires"	139842	53.5	"NA"	2829	4015	256
"Pan"	"troglodytes"	"??"	"Hominidae"	"Haplorrhini"	"Primates"	"Euarchontoglires"	44983.5	73	"NA"	3376	2920	229
"Homo"	"sapiens"	"??"	"Hominidae"	"Haplorrhini"	"Primates"	"Euarchontoglires"	62035	122.5	82.78	4745	5110	280
