Id,Name,Branch.length,Family,Genus,Order,SubFamily,SubOrder,mass,species
35,Pygathrix_nemaeus,0.40115,Cercopithecidae,Pygathrix,Primates,Colobinae,Haplorrhini,9720,nemaeus
36,,0.0957595,Cercopithecidae,,Primates,Colobinae,Haplorrhini,NA,
37,,0.0937289,Cercopithecidae,,Primates,Colobinae,Haplorrhini,NA,
38,Procolobus_badius,0.417942,Cercopithecidae,Procolobus,Primates,Colobinae,Haplorrhini,NA,badius
39,Colobus_guereza,0.41295,Cercopithecidae,Colobus,Primates,Colobinae,Haplorrhini,9950,guereza
3,Rattus_norvegicus,0.806582,Muridae,Rattus,Rodentia,Murinae,Sciurognathi,300,norvegicus
40,,0.124197,Cercopithecidae,,Primates,Colobinae,Haplorrhini,NA,
41,,0.269516,Cercopithecidae,,Primates,Colobinae,Haplorrhini,NA,
42,Chlorocebus_aethiops,0.712958,Cercopithecidae,Chlorocebus,Primates,Cercopithecinae,Haplorrhini,5620,aethiops
43,Macaca_mulatta,0.441629,Cercopithecidae,Macaca,Primates,Cercopithecinae,Haplorrhini,8235,mulatta
44,Papio_hamadryas,0.428962,Cercopithecidae,Papio,Primates,Cercopithecinae,Haplorrhini,18000,hamadryas
45,,0.120809,Cercopithecidae,,Primates,Cercopithecinae,Haplorrhini,NA,
46,,0.238327,Cercopithecidae,,Primates,Cercopithecinae,Haplorrhini,NA,
47,,0.384068,Cercopithecidae,,Primates,,Haplorrhini,NA,
48,Pongo_pygmaeus,0.490809,Hominidae,Pongo,Primates,Ponginae,Haplorrhini,64475,pygmaeus
49,Gorilla_gorilla,0.260099,Hominidae,Gorilla,Primates,Homininae,Haplorrhini,139842,gorilla
4,Mus_musculus,0.854604,Muridae,Mus,Rodentia,Murinae,Sciurognathi,20.5,musculus
5,,0.530231,Muridae,,Rodentia,Murinae,Sciurognathi,NA,
50,Homo_sapiens,0.206326,Hominidae,Homo,Primates,Homininae,Haplorrhini,62035,sapiens
51,Pan_troglodytes,0.191633,Hominidae,Pan,Primates,Homininae,Haplorrhini,44983.5,troglodytes
52,,0.0810138,Hominidae,,Primates,Homininae,Haplorrhini,NA,
53,,0.212851,Hominidae,,Primates,Homininae,Haplorrhini,NA,
54,,0.122402,Hominidae,,Primates,Homininae,Haplorrhini,NA,
